CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,TOTAL1
FORD  ,      ,FWN,67
FORD  ,      ,GLD,145
FORD  ,      ,GRN,620
FORD  ,      ,GRY,484
FORD  ,      ,MRN,134
FORD  ,      ,MVE,1
FORD  ,      ,OGE,141
FORD  ,      ,PNK,10
FORD  ,      ,PUR,69
FORD  ,      ,RED,951
FORD  ,      ,SIL,665
FORD  ,      ,WHI,2012
FORD  ,      ,YLW,337
FORDSN,      ,BLU,156
FORDSN,      ,GRN,1
FORDSN,      ,GRY,1
FORDSN,      ,OGE,1
FORDSN,      ,RED,1
FORDSN,      ,YLW,1
FOTON ,      ,BLK,3
FOTON ,      ,WHI,3
FOWLER,      ,RED,1
FRANNA,      ,BLU,3
FRANNA,      ,GRN,2
FRANNA,      ,GRY,1
FRANNA,      ,OGE,2
FRANNA,      ,RED,3
FRANNA,      ,YLW,2
FRGHTR,      ,RED,1
FRGHTR,      ,WHI,4
FURUKA,      ,YLW,7
FUSO  ,      ,WHI,13
G DRGN,      ,WHI,1
G M C ,      ,BLK,2
G M C ,      ,BLU,2
G M C ,      ,CRM,1
G M C ,      ,FWN,1
G M C ,      ,GRN,3
G M C ,      ,OGE,1
G M C ,      ,RED,3
G M C ,      ,SIL,2
G M C ,      ,WHI,1
G PGE ,      ,BLU,1
G PGE ,      ,GRN,1
G WALL,      ,BLK,50
G WALL,      ,BLU,2
G WALL,      ,GRY,1
G WALL,      ,RED,10
G WALL,      ,SIL,54
G WALL,      ,WHI,143
GALANT,      ,BRN,1
GALANT,      ,GRN,1
GALION,      ,YLW,8
GAMB  ,      ,RED,1
GARDNR,      ,BLU,1
GENIE ,      ,BLU,5
GENIE ,      ,WHI,1
GILBRN,      ,RED,1
GLDACR,      ,GRN,1
GLEANR,      ,GRY,1
GLEANR,      ,SIL,1
GMC   ,      ,WHI,1
GMC   ,      ,YLW,5
GOLDAC,      ,GRN,5
GOLDON,      ,OGE,1
GOLDON,      ,WHI,1
GRACO ,      ,BLU,4
GRAD  ,      ,BLU,1
GRAHAM,      ,MRN,1
GRAHAM,      ,RED,1
GRAYSN,      ,BLU,1
GRAYSN,      ,RED,1
GROVE ,      ,BLU,1
GROVE ,      ,GRN,1
GROVE ,      ,WHI,1
H COCK,      ,YLW,1
H DAV ,      ,BLK,128
H DAV ,      ,BLU,41
H DAV ,      ,BRN,13
H DAV ,      ,CRM,1
H DAV ,      ,GLD,1
H DAV ,      ,GRN,5
H DAV ,      ,GRY,2
H DAV ,      ,MRN,11
H DAV ,      ,OGE,1
H DAV ,      ,PUR,4
H DAV ,      ,RED,47
